movie_title,wiki_summary
'71 (2014),'71 is a 2014 British thriller film directed by Yann Demange (in his feature directorial debut) and written by Gregory Burke.
'Hellboy': The Seeds of Creation (2004),Hellboy is a superhero created by Mike Mignola and appearing in comic books published by Dark Horse Comics.
'Til There Was You (1997),"'Til There Was You is a 1997 American romantic comedy film directed by Scott Winant and starring Jeanne Tripplehorn, Dylan McDermott, and Sarah Jessica Parker."
'Tis the Season for Love (2015),'Tis Pity She's a Whore (original spelling: 'Tis Pitty Shee's a Who[o]re) is a tragedy written by John Ford.
'night Mother (1986),"'night, Mother is a 1986 American drama film starring Sissy Spacek and Anne Bancroft."
(500) Days of Summer (2009),"(500) Days of Summer is a 2009 American comedy-drama film directed by Marc Webb, written by Scott Neustadter and Michael H. Weber, and produced by Mark Waters."
*batteries not included (1987),Batteries Not Included (stylized as *batteries not included) is a 1987 American science fiction comedy-drama film directed by Matthew Robbins about small extraterrestrial living spaceships that save an apartment block under threat from property development.
...All the Marbles (1981),...All the Marbles (reissued as The California Dolls) is a 1981 American comedy-drama film about the trials and travails of a female wrestling tag team and their manager.
...And Justice for All (1979),"...And Justice for All is a 1979 American legal drama film directed by Norman Jewison and starring Al Pacino, Jack Warden and John Forsythe."
00 Schneider - Jagd auf Nihil Baxter (1994),00 Schneider – Jagd auf Nihil Baxter (Hunt for Nihil Baxter)  is a German comedy-film directed by Helge Schneider.
1-900 (06) (1994),1-900 or 06 is a 1994 Dutch erotic romantic drama film directed by Theo Van Gogh.
10 (1979),"10 is a 1979 American romantic comedy film written, produced and directed by Blake Edwards and starring Dudley Moore, Julie Andrews, Robert Webber, and Bo Derek."
10 Cent Pistol (2015),10 Cent Pistol is a 2014 American crime thriller film directed by Michael C. Martin and starring Jena Malone.
10 Cloverfield Lane (2016),"10 Cloverfield Lane is a 2016 American science fiction horror thriller film directed by Dan Trachtenberg in his directorial debut, produced by J. J. Abrams and Lindsey Weber and written by Josh Campbell, Matthew Stuecken, and Damien Chazelle."
10 Items or Less (2006),10 Items or Less is a 2006 American comedy-drama film written and directed by Brad Silberling and starring Morgan Freeman and Paz Vega.
10 Things I Hate About You (1999),"10 Things I Hate About You is a 1999 American teen romantic comedy film directed by Gil Junger in his film directorial debut and starring Julia Stiles, Heath Ledger, Joseph Gordon-Levitt, and Larisa Oleynik."
10 Years (2011),10 Years is a 2011 American romantic comedy film written and directed by Jamie Linden in his directorial debut.
"10,000 BC (2008)","10,000 BC is a 2008 American action-adventure film co-written, co-produced and directed by Roland Emmerich, co-written, co-scored, and executive produced by Harald Kloser, and starring Steven Strait and Camilla Belle."
100 Girls (2000),100 Girls is a 2000 American romantic comedy film written and directed by Michael Davis.
100 Streets (2016),100 Streets is a British drama film directed by Jim O'Hanlon and starring Idris Elba.
101 Dalmatians (1996),"101 Dalmatians is a 1996 American adventure comedy film produced by Walt Disney Pictures and Great Oaks Entertainment, with distribution by Buena Vista Pictures Distribution."
101 Dalmatians (One Hundred and One Dalmatians) (1961),"101 Dalmatians is a 1996 American adventure comedy film produced by Walt Disney Pictures and Great Oaks Entertainment, with distribution by Buena Vista Pictures Distribution."
101 Reykjavik (101 Reykjavík) (2000),101 Reykjavík () is a 2000 Icelandic romantic comedy film directed by Baltasar Kormákur and starring Victoria Abril and Hilmir Snær Guðnason.
102 Dalmatians (2000),"102 Dalmatians is a 2000 American crime comedy film produced by Walt Disney Pictures, Cruella Productions and Kanzaman S.A.M. Films with distribution by Buena Vista Pictures Distribution."
10th & Wolf (2006),10th & Wolf is a 2006 film about the Philadelphia crime family directed by Robert Moresco.
"10th Kingdom, The (2000)","The 10th Kingdom is an American fairytale fantasy miniseries written by Simon Moore and produced by Britain's Carnival Films, Germany's Babelsberg Film und Fernsehen, and the US's Hallmark Entertainment."
"10th Victim, The (La decima vittima) (1965)","The 10th Victim (Italian: La decima vittima) is a 1965 science fiction film directed and co-written by Elio Petri, starring Marcello Mastroianni, Ursula Andress, Elsa Martinelli, and Salvo Randone."
11:14 (2003),11:14 is a 2003 neo-noir black comedy thriller film written and directed by Greg Marcks (in his feature directorial debut).
"11th Hour, The (2007)","The 11th Hour is a 2007 documentary film on the state of the natural environment created, produced, co-written and narrated by Leonardo DiCaprio."
12 Angry Men (1957),"12 Angry Men is a 1957 American independent legal drama film directed by Sidney Lumet in his feature film debut, adapted from a 1954 teleplay of the same name by Reginald Rose."
12 Angry Men (1997),"12 Angry Men is a 1997 American made-for-television drama film directed by William Friedkin, adapted by Reginald Rose from his original 1954 teleplay of the same title."
12 Chairs (1976),The Twelve Chairs (Russian: 12 стульев) is a 1976 four-episode musical television film directed by Mark Zakharov based on the 1928 novel of the same name by Ilf and Petrov.
12 Rounds (2009),12 Rounds is a 2009 American action film directed by Renny Harlin and produced by WWE Studios.
12 Years a Slave (2013),"12 Years a Slave is a 2013 biographical drama film directed by Steve McQueen from a screenplay by John Ridley, based on  the 1853 slave memoir Twelve Years a Slave by Solomon Northup, an African American man who was kidnapped in Washington, D.C. by two conmen in 1841 and sold into slavery."
127 Hours (2010),"127 Hours is a 2010 biographical psychological survival drama film co-written, produced, and directed by Danny Boyle."
13 Assassins (Jûsan-nin no shikaku) (2010),"13 Assassins (Japanese: 十三人の刺客, Hepburn: Jūsannin no Shikaku) is a 2010 samurai film directed by Takashi Miike, and starring Koji Yakusho, Takayuki Yamada, Sōsuke Takaoka, Hiroki Matsukata, Kazuki Namioka and Gorō Inagaki."
13 Ghosts (1960),"13 Ghosts is a 1960 American supernatural horror film produced and directed by William Castle, written by Robb White and starring Rosemary DeCamp, Margaret Hamilton, Charles Herbert, Martin Milner, Jo Morrow, John van Dreelen, and Donald Woods."
13 Going on 30 (2004),"13 Going on 30 (released as Suddenly 30 in some countries) is a 2004 American fantasy romantic comedy film written by Cathy Yuspa and Josh Goldsmith, directed by Gary Winick, starring Jennifer Garner, and produced by Susan Arnold and Donna Arkoff Roth."
13 Hours (2016),"13 Hours: The Secret Soldiers of Benghazi is a 2016 American biographical action-thriller film, directed and produced by Michael Bay."
13 Sins (2014),13 Sins is a 2014 American horror-thriller film directed by Daniel Stamm.
13 Tzameti (2005),"13 Tzameti is a 2005 suspense thriller French film written, produced, and directed by Georgian filmmaker Géla Babluani."
13th (2016),13th is a 2016 American documentary film directed by Ava DuVernay.
"13th Warrior, The (1999)","The 13th Warrior is a 1999 American historical fiction action film based on Michael Crichton's 1976 novel Eaters of the Dead, which is a loose adaptation of the tale of Beowulf combined with Ahmad ibn Fadlan's historical account of the Volga Vikings."
1408 (2007),1408 is a 2007 American psychological horror film based on Stephen King's 1999 short story of the same name.
1492: Conquest of Paradise (1992),"1492: Conquest of Paradise is a 1992 epic historical drama film directed and produced by Ridley Scott, written by Roselyne Bosch and starring Gérard Depardieu, Armand Assante, and Sigourney Weaver."
15 Minutes (2001),15 Minutes is a 2001 American satirical buddy cop action thriller film directed and written by John Herzfeld and starring Robert De Niro and Edward Burns.
16 Blocks (2006),"16 Blocks is a 2006 American action thriller film directed by Richard Donner and starring Bruce Willis, Mos Def, and David Morse."
17 Again (2009),17 Again is a 2009 American teen fantasy comedy film directed by Burr Steers.
1776 (1972),"1776 is a 1972 American historical musical comedy drama film directed by Peter H. Hunt and written by Peter Stone, based on his book for the 1969 Broadway musical of the same name, with music and lyrics by Sherman Edwards."
18 Again! (1988),"18 Again (Korean: 18 어게인; RR: 18 Eogein) is a 2020 South Korean television series based on the 2009 film 17 Again by Jason Filardi, likely inspired by the 1988 comedy movie of the (series') same name featuring George Burns."
187 (One Eight Seven) (1997),One Eight Seven (also known as 187) is a 1997 American crime drama thriller film directed by Kevin Reynolds.
1900 (Novecento) (1976),"1900 (Italian: Novecento, ""Twentieth Century"") is a 1976 epic historical drama film directed by Bernardo Bertolucci, and featuring an international ensemble cast including Robert De Niro, Gérard Depardieu, Dominique Sanda, Francesca Bertini, Laura Betti, Stefania Casini, Ellen Schwiers, Sterling Hayden, Alida Valli, Romolo Valli, Stefania Sandrelli, Donald Sutherland, and Burt Lancaster."
1941 (1979),1941 is a 1979 American war comedy film directed by Steven Spielberg and written by Robert Zemeckis and Bob Gale.
1969 (1988),"1969 is a 1988 American drama film written and directed by Ernest Thompson and starring Robert Downey Jr., Kiefer Sutherland and Winona Ryder."
1984 (Nineteen Eighty-Four) (1984),"Nineteen Eighty-Four, also known as 1984, is a 1984 dystopian drama film written and directed by Michael Radford, based upon George Orwell's 1949 novel of the same name."
2 Days in New York (2012),2 Days in New York is a 2012 romantic comedy film co-written and directed by Julie Delpy.
2 Days in Paris (2007),"2 Days in Paris is a 2007 romantic comedy-drama film written, co-produced, edited, composed, and directed by Julie Delpy, and stars Delpy, Adam Goldberg and Daniel Brühl."
2 Days in the Valley (1996),2 Days in the Valley is a 1996 American neo noir crime black comedy film written and directed by John Herzfeld.
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)","2 Fast 2 Furious  is a 2003 action film directed by John Singleton from a screenplay by Michael Brandt and Derek Haas, based on a story by Brandt, Haas, and Gary Scott Thompson."
2 Guns (2013),2 Guns is a 2013 American buddy cop action comedy film directed by Baltasar Kormákur and starring Denzel Washington and Mark Wahlberg.
20 Dates (1998),20 Dates is a 1998 American mockumentary film.
20 Feet from Stardom (Twenty Feet from Stardom) (2013),"20 Feet from Stardom (stylized in the film's title sequence as Twenty Feet from Stardom) is a 2013 American documentary film directed by documentary filmmaker Morgan Neville and produced by Gil Friesen, a music industry executive whose curiosity to know more about the lives of background singers inspired the making of the film."
